Date,Home Team,Home Goals,Away Team,Away Goals,Shootout
9/30/2016,SJSU,4,SCU,1,no
10/15/2016,SCU,12,UCSC,2,no
10/28/2016,SRJC,3,SCU,2,no
11/11/2016,SCU,3,Cal Lutheran,4,no
11/12/2016,SCU,1,SJSU,2,no
10/28/2016,UC Davis,1,SJSU,9,no
11/4/2016,SRJC,15,UC Davis,7,no
11/19/2016,UC Davis,10,SRJC,12,no
10/21/2016,SJSU,4,SRJC,1,no
10/22/2016,SRJC,7,SJSU,4,no
11/11/2016,UCSC,1,SRJC,8,no
11/18/2016,SRJC,13,UCSC,6,no
11/13/2016,SJSU,6,Cal Lutheran,3,no
01/20/17,SCU,9,SRJC,6,no
01/14/17,Cal Lutheran,19,UCSC,1,no
01/20/17,UC Davis,15,UCSC,4,no
01/21/17,UC Davis,4,SCU,6,no
01/29/17,UC Davis,15,SRJC,0,no
01/29/17,Stanford,7,UCSC,4,no
01/29/17,Stanford,7,UCSC,4,no
01/29/17,SCU,6,Stanford,3,no
01/29/17,Stanford,5,UC Davis,10,no
02/04/17,UC Davis,16,SRJC,6,no
02/04/17,SRJC,1,SCU,2,no
02/04/17,SRJC,0,SJSU,2,no
02/04/17,SRJC,10,UCSC,7,no
01/14/17,UCSC,1,Stanford,0,no
02/11/17,UC Davis,4,SCU,8,no
